expediente|cod_plan|des_plan|anio_apertura_expediente|exp_cerrado|exp_trasladado|tipo_traslado|exp_bloqueado|abandona|anio_convocatoria_acceso|convocatoria_acceso|acceso|des_acceso|sub_acceso|des_subacesso|nota_acceso|nota_admision_def|centro_escolar_acceso|sexo|fecha_nacimiento|cod_provincia|provincia|cod_municipio|municipio
604|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1990-91|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1967-03-08|10.0|CÁCERES|1.0|CÁCERES
605|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1991-92|FEB|5|Título Universitario|2|Curso de Adaptación||||H|1969-08-20|10.0|CÁCERES|584.0|PLASENCIA
606|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2006-07|JUN|5|Título Universitario|2|Curso de Adaptación||||D|1985-03-08|10.0|CÁCERES|1.0|CÁCERES
607|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2003-04|FEB|5|Título Universitario|2|Curso de Adaptación||||D|1976-08-12||||
608|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1981-82|FEB|5|Título Universitario|2|Curso de Adaptación||||H|1956-03-30|10.0|CÁCERES|408.0|JARAÍZ DE LA VERA
609|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1978-79|FEB|5|Título Universitario|2|Curso de Adaptación||||H|1956-11-02|10.0|CÁCERES|1.0|CÁCERES
610|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1991-92|JUN|5|Título Universitario|2|Curso de Adaptación||||D|1973-02-07|10.0|CÁCERES|1.0|CÁCERES
611|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1994-95|JUN|5|Título Universitario|2|Curso de Adaptación||||D|1977-09-24|10.0|CÁCERES|1.0|CÁCERES
612|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1997-98|SEP|5|Título Universitario|2|Curso de Adaptación||||H|1976-01-10|48.0|BIZKAIA|1.0|BILBAO
613|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2010-11|ENE|5|Título Universitario|2|Curso de Adaptación||||D|1967-05-19|10.0|CÁCERES|548.0|PEDROSO DE ACIM
614|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1994-95|JUN|5|Título Universitario|2|Curso de Adaptación||||D|1977-09-22|20.0|GIPUZKOA|1.0|DONOSTIA-SAN SEBASTIÁN
615|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1999-00|FEX|5|Título Universitario|2|Curso de Adaptación||||D|1977-04-09|10.0|CÁCERES|1.0|CÁCERES
616|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2007-08|NOV|5|Título Universitario|2|Curso de Adaptación||||D|1985-02-15|6.0|BADAJOZ|540.0|QUINTANA DE LA SERENA
617|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2002-03|FEX|5|Título Universitario|2|Curso de Adaptación||||D|1978-02-18|6.0|BADAJOZ|1.0|BADAJOZ
618|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2001-02|SEP|5|Título Universitario|2|Curso de Adaptación||||H|1979-07-16|10.0|CÁCERES|1.0|CÁCERES
619|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2003-04|FEB|5|Título Universitario|2|Curso de Adaptación||||D|1979-05-12|6.0|BADAJOZ|740.0|VILLAFRANCA DE LOS BARROS
620|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1991-92|SEP|5|Título Universitario|2|Curso de Adaptación||||H|1960-03-24|10.0|CÁCERES|452.0|MALPARTIDA DE CÁCERES
621|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1984-85|SEP|5|Título Universitario|2|Curso de Adaptación||||H|1959-12-30|10.0|CÁCERES|700.0|SIERRA DE FUENTES
622|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2008-09|FEB|5|Título Universitario|2|Curso de Adaptación||||H|1986-03-21|10.0|CÁCERES|1.0|CÁCERES
623|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1997-98|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1975-07-09|6.0|BADAJOZ|215.0|DON BENITO
624|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1989-90|FEB|5|Título Universitario|2|Curso de Adaptación||||H|1968-02-24|7.0|ILLES BALEARS|1.0|PALMA DE MALLORCA
625|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1993-94|SEP|5|Título Universitario|2|Curso de Adaptación||||H|1969-05-25|6.0|BADAJOZ|1.0|BADAJOZ
626|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1986-87|FEB|5|Título Universitario|2|Curso de Adaptación||||H|1964-10-18|6.0|BADAJOZ|215.0|DON BENITO
627|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1998-99|SEP|5|Título Universitario|2|Curso de Adaptación||||H|1970-05-15|10.0|CÁCERES|272.0|LA CUMBRE
628|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2001-02|FEB|5|Título Universitario|2|Curso de Adaptación||||D|1979-06-21|6.0|BADAJOZ|1.0|BADAJOZ
629|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1985-86|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1963-06-12|6.0|BADAJOZ|760.0|VILLANUEVA DE LA SERENA
630|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2002-03|JUN|5|Título Universitario|2|Curso de Adaptación||||D|1981-01-14|6.0|BADAJOZ|135.0|CAMPANARIO
631|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1994-95|SEP|5|Título Universitario|2|Curso de Adaptación||||D|1972-08-07|10.0|CÁCERES|1.0|CÁCERES
632|1626|GRADO EN EDIFICACIÓN|2010-11|N|N||N|S|2003-04|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1980-12-01|6.0|BADAJOZ|1.0|BADAJOZ
633|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2001-02|FEX|5|Título Universitario|2|Curso de Adaptación||||D|1975-09-13|6.0|BADAJOZ|310.0|HERRERA DEL DUQUE
634|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1997-98|SEP|5|Título Universitario|2|Curso de Adaptación||||H|1977-11-10|10.0|CÁCERES|1.0|CÁCERES
