expediente|cod_plan|des_plan|anio_apertura_expediente|exp_cerrado|exp_trasladado|tipo_traslado|exp_bloqueado|abandona|anio_convocatoria_acceso|convocatoria_acceso|acceso|des_acceso|sub_acceso|des_subacesso|nota_acceso|nota_admision_def|centro_escolar_acceso|sexo|fecha_nacimiento|cod_provincia|provincia|cod_municipio|municipio
162|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|N|N|N|N|S|2009-10|JUN|3|Formación Profesional|2|Formación Profesional II|5.0|||H|1990-09-29|10.0|CÁCERES|264.0|CORIA
163|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|N|S|I|N|S|2010-11|SEP|1|Selectividad|5|LOE (Grados)|5.746|5.746|144-ESC. VIRGEN DE GUADALUPE (Ba)|H|1993-10-23|6.0|BADAJOZ|1.0|BADAJOZ
166|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|S|N|N|N|N|2010-11|JUN|1|Selectividad|5|LOE (Grados)|6.282||141-I.E.S. RODRÍGUEZ MOÑINO|D|1993-09-26|6.0|BADAJOZ|1.0|BADAJOZ
167|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|N|N|N|S|S|2006-07|JUN|1|Selectividad|1|LOGSE|7.55|7.55|102-I.E.S. MANUEL GODOY|H|1989-03-08|6.0|BADAJOZ|175.0|CASTUERA
168|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|N|N|N|N|N|2010-11|SEP|1|Selectividad|5|LOE (Grados)|5.956||227-COLEGIO SANTÍSIMA TRINIDAD|H|1993-03-21|10.0|CÁCERES|584.0|PLASENCIA
169|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|N|S|I|N|S|2009-10|SEP|1|Selectividad|5|LOE (Grados)|5.378|5.378|127-I.E.S. VEGAS BAJAS|H|1991-10-04|8.0|BARCELONA|1.0|BARCELONA
170|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|N|N|N|N|S|2009-10|JUN|4|Mayores de 25/40/45 años|2|P.A.U. MAYORES DE 25 (Grados)|5.425||MAYCC-Pruebas de Mayores - Cáceres|H|1984-09-21|10.0|CÁCERES|1.0|CÁCERES
171|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|N|S|I|N|S|2010-11|JUN|3|Formación Profesional|1|Ciclos formativos|6.0|||H|1986-11-28|6.0|BADAJOZ|1.0|BADAJOZ
172|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|N|N|N|N|S|2010-11|JUN|3|Formación Profesional|1|Ciclos formativos|6.29||119-I.E.S. DONOSO CORTÉS|H|1991-12-07||||
174|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|N|S|E|N|S|2009-10|JUN|1|Selectividad|5|LOE (Grados)|7.31|||H|1992-05-23|24.0|LEÓN|1.0|LEÓN
